WTeamID,WScore,LTeamID,LScore,WLoc,W_Conf,L_Conf
Louisiana Tech,82,Texas A&M-Corpus Christi,49,A,Conference USA,Southland Conference
Vanderbilt,71,Texas A&M-Corpus Christi,66,H,Southeastern Conference,Southland Conference
Stony Brook,68,Texas A&M-Corpus Christi,63,A,America East Conference,Southland Conference
North Dakota St.,57,Texas A&M-Corpus Christi,45,A,The Summit League,Southland Conference
Texas A&M-Corpus Christi,63,Texas-Rio Grande Valley,55,H,Southland Conference,Western Athletic Conference
Texas A&M-Corpus Christi,55,Texas-Rio Grande Valley,52,A,Southland Conference,Western Athletic Conference
Texas-San Antonio,89,Texas A&M-Corpus Christi,67,H,Conference USA,Southland Conference
Texas A&M,63,Texas A&M-Corpus Christi,60,H,Southeastern Conference,Southland Conference
Nicholls St.,64,Texas A&M-Corpus Christi,58,H,Southland Conference,Southland Conference
Central Arkansas,71,Texas A&M-Corpus Christi,67,H,Southland Conference,Southland Conference
Nebraska,73,Texas A&M-Corpus Christi,52,H,Big Ten Conference,Southland Conference
Texas A&M-Corpus Christi,67,Northwestern St.,62,H,Southland Conference,Southland Conference
Southeastern Louisiana,84,Texas A&M-Corpus Christi,80,A,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,73,Stephen F. Austin,72,A,Southland Conference,Southland Conference
Abilene Christian,68,Texas A&M-Corpus Christi,56,H,Southland Conference,Southland Conference
Southeastern Louisiana,62,Texas A&M-Corpus Christi,56,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,64,Lamar,58,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,74,New Orleans,71,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,68,Incarnate Word,47,A,Southland Conference,Southland Conference
Sam Houston St.,80,Texas A&M-Corpus Christi,61,H,Southland Conference,Southland Conference
Houston Baptist,82,Texas A&M-Corpus Christi,77,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,69,McNeese St.,62,H,Southland Conference,Southland Conference
Stephen F. Austin,75,Texas A&M-Corpus Christi,67,A,Southland Conference,Southland Conference
Abilene Christian,78,Texas A&M-Corpus Christi,64,A,Southland Conference,Southland Conference
Lamar,79,Texas A&M-Corpus Christi,62,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,81,New Orleans,75,A,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,78,Incarnate Word,70,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,74,Sam Houston St.,60,H,Southland Conference,Southland Conference
Texas A&M-Corpus Christi,84,Houston Baptist,78,H,Southland Conference,Southland Conference
Northwestern St.,79,Texas A&M-Corpus Christi,62,N,Southland Conference,Southland Conference
Drexel,86,Abilene Christian,83,H,Colonial Athletic Association,Southland Conference
Pepperdine,73,Abilene Christian,69,A,West Coast Conference,Southland Conference
Nevada-Las Vegas,72,Abilene Christian,58,H,Mountain West Conference,Southland Conference
Texas St.,61,Abilene Christian,56,H,Sun Belt Conference,Southland Conference
Southern Methodist,70,Abilene Christian,51,H,American Athletic Conference,Southland Conference
Abilene Christian,73,Southeast Missouri St.,64,H,Southland Conference,Ohio Valley Conference
Abilene Christian,77,New Orleans,71,A,Southland Conference,Southland Conference
Abilene Christian,79,Nicholls St.,61,H,Southland Conference,Southland Conference
Wichita St.,84,Abilene Christian,66,H,American Athletic Conference,Southland Conference
